idmeditable,nameMedi,useMedi,introMedi,warnMedi,takeMedi,sideEffectMedi,ifMissMedi
43,Apixaban,"used to lower the risk of stroke caused by a blood clot in people with a heart rhythm disorder called atrial fibrillation.","Apixaban is also used after hip or knee replacement surgery to prevent a type of blood clot called deep vein thrombosis (DVT), which can lead to blood clots in the lungs (pulmonary embolism). Apixaban is also used to treat DVT or pulmonary embolism (PE), and to lower your risk of having a repeat DVT or PE.","Do not stop taking apixaban unless your doctor tells you to. Stopping suddenly can increase your risk of blood clot or stroke. Call your doctor at once if you have signs of bleeding such as: easy bruising, unusual bleeding, unexpected pain or swelling, feeling very weak or dizzy, bleeding gums, nosebleeds, heavy menstrual bleeding, blood in your urine or stools, coughing up blood.","You may take apixaban with or without food. If you cannot swallow a tablet whole, crush it and mix with water, apple juice, or applesauce. Swallow the mixture right away without chewing. A crushed tablet mixture may also be given through a nasogastric (NG) feeding tube.","signs of an allergic reaction: hives; chest pain, wheezing, difficult breathing; feeling light-headed; swelling of your face, lips, tongue, or throat. Seek emergency medical attention if you have symptoms of a spinal blood clot such as tingling, numbness, or muscle weakness especially in your legs and feet.","Take the missed dose on the same day you remember it. Take your next dose at the regular time and stay on your twice-daily schedule. Do not take two doses at one time."
44,Apokyn,"used to treat muscle stiffness, loss of muscle control","Apokyn (apomorphine) has some of the same effects as a chemical called dopamine, which occurs naturally in your body. Low levels of dopamine in the brain are associated with Parkinson's disease. Apokyn is a prescription medicine used to treat "wearing-off" episodes (muscle stiffness, loss of muscle control) in people with advanced Parkinson's disease.","You should not use Apokyn if you also taking alosetron (Lotronex), dolasetron (Anzemet), granisetron (Kytril), ondansetron (Zofran), or palonosetron (Aloxi).","Apokyn injection is injected under the skin. A healthcare provider will give your first dose and may teach you how to properly use the medication by yourself. your prescribed dose may be in milligrams (mg). One milligram, or 1 mg, of apomorphine is equal to 0.1 mL marked on the injection pen. Do not inject Apokyn into a vein.","extreme drowsiness, falling asleep suddenly, even after feeling alert, confusion, hallucinations, unusual thoughts or behavior, twitching or uncontrollable movements of your eyes, lips, tongue, face, arms, or legs, fast or pounding heartbeats, fluttering in your chest, shortness of breath, and sudden dizziness (like you might pass out)","Use the medicine as soon as you can, but skip the missed dose if it is almost time for your next dose. Do not use two doses at one time."
45,Apriso,"used to treat a certain bowel disease (ulcerative colitis)","Apriso (mesalamine) affects a substance in the body that causes inflammation, tissue damage, and diarrhea. Apriso is used to treat mild to moderate ulcerative colitis in patients 18 years of age and older. Apriso is used to prevent the symptoms of ulcerative colitis from recurring.","Stop using Apriso and call your doctor at once if you have severe stomach pain, stomach cramping, bloody diarrhea (may occur with fever, headache, and skin rash).","You may take Apriso with or without food. Drink plenty of liquids to help prevent kidney stones. Swallow the capsule whole and do not open, chew, or break it. Tell your doctor if you have trouble swallowing the capsule.","severe stomach pain, stomach cramping, bloody diarrhea, fever, headache, general ill feeling, rash, itching, eye redness, bloody or tarry stools, coughing up blood or vomit that looks like coffee grounds","Take the medicine as soon as you can, but skip the missed dose if it is almost time for your next dose. Do not take two doses at one time."
46,Aptiom,"used alone or with other medications to treat a certain type of seizure disorder (focal seizures)","Aptiom (eslicarbazepine) is an anticonvulsant. It works by decreasing nerve impulses that cause seizures and pain. Aptiom is used alone or with other medications to treat partial-onset seizures in adults and children who are at least 4 years old.","Do not stop using Aptiom suddenly. Seek medical treatment if you have a serious drug reaction that can affect many parts of your body.","Aptiom is usually given once per day. Do not take this medicine in larger or smaller amounts or for longer than recommended. You may take Aptiom with or without food. The Aptiom tablet may be crushed or swallowed whole.","can reduce the sodium in your body to dangerously low levels, which can cause a life-threatening electrolyte imbalance. Call your doctor right away if you have nausea, lack of energy, confusion, feeling tired or irritable, severe weakness, muscle pain, or increased seizures.","Take the missed dose as soon as you remember. Skip the missed dose if it is almost time for your next scheduled dose. Do not take extra medicine to make up the missed dose."
47,Aricept,"used to treat mild to moderate dementia caused by Alzheimer's disease","Aricept (donepezil) improves the function of nerve cells in the brain. It works by preventing the breakdown of a chemical called acetylcholine (ah SEET il KOE leen). People with dementia usually have lower levels of this chemical, which is important for the processes of memory, thinking, and reasoning.","Before taking Aricept, tell your doctor if you have a heart rhythm disorder such as "sick sinus syndrome" (slow heartbeats), an enlarged prostate, urination problems, asthma, obstructive pulmonary disease, or a seizure disorder such as epilepsy.","Use dry hands to remove the tablet and place it in your mouth. Do not swallow the tablet whole. Allow it to dissolve in your mouth without chewing. Swallow several times as the tablet dissolves. After the tablet dissolves completely, drink a glass of water.","severe or ongoing vomiting, a light-headed feeling, like you might pass out, slow heartbeats, seizure (convulsions), painful or difficult urination, new or worsening breathing problems","Take the missed dose as soon as you remember. Skip the missed dose if it is almost time for your next scheduled dose. Do not take extra medicine to make up the missed dose. If you miss your doses for more than 7 days in a row, call your doctor before taking the medicine again."
48,Arimidex,"used to treat breast cancer in postmenopausal women.","Arimidex (anastrozole) lowers estrogen levels in postmenopausal women, which may slow the growth of certain types of breast tumors that need estrogen to grow in the body. Arimidex is used to treat breast cancer in postmenopausal women. Arimidex is often given to women whose cancer has progressed even after taking tamoxifen (Nolvadex, Soltamox).","Do not use anastrozole if you are pregnant. It could harm the unborn baby. Arimidex may not work as well if you take it together with estrogen medication ","Arimidex is usually taken once per day. Follow your doctor's dosing instructions very carefully. You may take Arimidex with or without food. You may need to keep taking this medication for up to 5 years. ","signs of an allergic reaction to Arimidex (hives, difficult breathing, swelling in your face or throat) or a severe skin reaction (fever, sore throat, burning eyes, skin pain, red or purple skin rash with blistering and peeling), may decrease blood flow to your heart, especially if you have ever had coronary artery disease (clogged arteries).","Take the medicine as soon as you can, but skip the missed dose if it is almost time for your next dose. Do not take two doses at one time."
49,Aripiprazole,"used to treat schizophrenia in adults and children at least 13 years old.","Aripiprazole is also used in children 6 years or older who have Tourette's disorder, or symptoms of autistic disorder (irritability, aggression, mood swings, temper tantrums, and self-injury).Aripiprazole is used alone or with a mood stabilizer medicine to treat bipolar I disorder in adults and children at least 10 years old.","Avoid driving and doing other tasks or actions that call for you to be alert or have clear eyesight until you see how aripiprazole affects you.High blood sugar or diabetes, high cholesterol, and weight gain have happened with drugs like this one.","Swallow the regular tablet whole and do not crush, chew, or break it. Do not split the orally disintegrating tablet.Remove an orally disintegrating tablet from the package only when you are ready to take the medicine. Place the tablet in your mouth and allow it to dissolve.","blurred vision,increased saliva or drooling;muscle stiffness;uncontrolled muscle movements, shaking, anxiety, feeling restless;nausea, vomiting, constipation;increased or decreased appetite;headache, dizziness, drowsiness, feeling tired, sore throat","Take the medicine as soon as you can, but skip the missed dose if it is almost time for your next dose. Do not take two doses at one time.Get your prescription refilled before you run out of medicine completely."
50,"Aristada Injection","used to treat a mental/mood disorder called schizophrenia.","Aristada (aripiprazole) is an antipsychotic medication. It works by changing the actions of chemicals in the brain. Aristada is used to treat schizophrenia in adults. Aristada may also be used for purposes not listed in this medication guide.","Aristada is not approved for use in psychotic conditions related to dementia. Aripiprazole may increase the risk of death in older adults with dementia-related psychosis.","If you have never used aripiprazole before, your doctor may want to you also take this medicine by mouth (in tablet or liquid form) for a short time before your first injection. You may need to continue taking oral aripiprazole for up to 3 weeks after your first injection.","signs of an allergic reaction to Aristada hives; difficult breathing; swelling of your face, lips, tongue, or throat. High doses or long-term use of aripiprazole can cause a serious movement disorder that may not be reversible. The longer you use Aristada, the more likely you are to develop this disorder, especially if you are a diabetic or an older adult.","Call your doctor for instructions if you miss an appointment for your Aristada injection. Overdose symptoms may include drowsiness, vomiting, aggression, confusion, tremors, fast or slow heart rate, seizure (convulsions), weak or shallow breathing, or fainting."
51,Aromasin,"used to treat early and advanced breast cancer in postmenopausal women.","Aromasin (exemestane) ) lowers estrogen levels in postmenopausal women, which may slow the growth of certain types of breast tumors that need estrogen to grow in the body. Aromasin is used to treat early and advanced breast cancer in postmenopausal women. Aromasin is sometimes given after you have taken tamoxifen for 2 or 3 years, or if tamoxifen did not work or has stopped working.","You should not use Aromasin if you are allergic to exemestane, if you have not started menopause, or if you are pregnant or able to become pregnant.,Do not use Aromasin if you are pregnant. It could harm the unborn baby.","Aromasin is usually taken once per day, after a meal. Try to take the medicine at the same time each day. You will need frequent medical tests. Your doctor may have you take extra vitamin D while you are taking Aromasin. Take only the amount of vitamin D that your doctor has prescribed.","chest pain or pressure, new or unusual bone pain, swelling in your hands or feet, feeling short of breath, even with mild exertion or signs of a blood clot and signs of an allergic reaction to Aromasin: hives; difficult breathing; swelling of your face, lips, tongue, or throat.","Take the medicine as soon as you can, but skip the missed dose if it is almost time for your next dose. Do not take two doses at one time. Get your prescription refilled before you run out of medicine completely."
52,Aspirin,"used to treat pain, and reduce fever or inflammation","Aspirin is a salicylate (sa-LIS-il-ate). It works by reducing substances in the body that cause pain, fever, and inflammation. Aspirin is used to treat pain, and reduce fever or inflammation. It is sometimes used to treat or prevent heart attacks, strokes, and chest pain (angina). Aspirin should be used for cardiovascular conditions only under the supervision of a doctor.","You should not use aspirin if you have a bleeding disorder such as hemophilia, a recent history of stomach or intestinal bleeding, or if you are allergic to an NSAID (non-steroidal anti-inflammatory drug)","Always follow directions on the medicine label about giving aspirin to a child. Take with food if aspirin upsets your stomach. You must chew the chewable tablet before you swallow it. Do not crush, chew, break, or open an enteric-coated or delayed/extended-release pill. Swallow the pill whole.","ringing in your ears, confusion, hallucinations, rapid breathing, seizure (convulsions), severe nausea, vomiting, or stomach pain, bloody or tarry stools, coughing up blood or vomit that looks like coffee grounds, fever lasting longer than 3 days or swelling, or pain lasting longer than 10 days.","Since aspirin is used when needed, you may not be on a dosing schedule. If you are on a schedule, use the missed dose as soon as you remember. Skip the missed dose if it is almost time for your next scheduled dose. Do not use extra medicine to make up the missed dose."
53,Atenolol,"used with or without other medications to treat high blood pressure (hypertension)","Atenolol (Tenormin) is a beta-blocker that affects the heart and circulation (blood flow through arteries and veins). Atenolol is used to treat angina (chest pain) and hypertension (high blood pressure). Atenolol is also used to lower the risk of death after a heart attack.","Atenolol is only part of a complete program of treatment for hypertension that may also include diet, exercise, and weight control. Follow your diet, medication, and exercise routines very closely if you are being treated for hypertension. Do not stop taking atenolol without first talking to your doctor.","Your blood pressure will need to be checked often. If you need surgery, tell the surgeon ahead of time that you are using atenolol. It may take up to 2 weeks before you get the full effect of atenolol. You should not stop taking atenolol suddenly. Stopping suddenly may make your condition worse.","new or worsening chest pain, slow or uneven heartbeats, a light-headed feeling, like you might pass out, shortness of breath (even with mild exertion), swelling, rapid weight gain or a cold feeling in your hands and feet","Take the missed dose as soon as you remember. Skip the missed dose if it is almost time for your next scheduled dose. Do not take extra medicine to make up the missed dose."
54,Ativan,"a prescription medicine used to treat anxiety disorders","Ativan (lorazepam) belongs to a group of drugs called benzodiazepines (ben-zoe-dye-AZE-eh-peens). It is thought that lorazepam works by enhancing the activity of certain neurotransmitters in the brain. It is dangerous to purchase Ativan on the Internet or outside the United States. These medications may contain dangerous ingredients, or may not be distributed by a licensed pharmacy.","Ativan can slow or stop your breathing, especially if you have recently used an opioid medication, alcohol, or other drugs that can slow your breathing. Do not use Ativan if you are pregnant. Lorazepam can cause birth defects or life-threatening withdrawal symptoms in a newborn.","Take Ativan exactly as prescribed by your doctor. Follow the directions on your prescription label and read all medication guides or instruction sheets. Never use Ativan in larger amounts, or for longer than prescribed. Store in tightly closed container at room temperature, away from moisture and heat. Keep your medicine where no one can use it improperly.","signs of an allergic reaction to Ativan: hives; difficulty breathing; swelling of your face, lips, tongue, or throat. Lorazepam can slow or stop your breathing, especially if you have recently used an opioid medication or alcohol. seek emergency medical attention if you have slow breathing with long pauses, blue colored lips, or if you are hard to wake up.","Take the medicine as soon as you can, but skip the missed dose if it is almost time for your next dose. Do not take two doses at one time. An overdose of lorazepam can be fatal"
55,Atomoxetine,"used to treat attention deficit hyperactivity disorder (ADHD).","Atomoxetine is used to treat attention-deficit hyperactivity disorder (ADHD) as part of a total treatment plan, including psychological, social, and other treatments. It may help to increase the ability to pay attention, concentrate, stay focused, and stop fidgeting.","Do not use atomoxetine if you have used an MAO inhibitor in the past 14 days, such as isocarboxazid, linezolid, methylene blue injection, phenelzine, rasagiline, selegiline, or tranylcypromine. Atomoxetine may cause new or worsening psychosis (unusual thoughts or behavior), especially if you have a history of depression, mental illness, or bipolar disorder.","Take the medicine at the same time each day, with a full glass of water. Atomoxetine is usually taken once daily in the morning, or two times per day in the morning and late afternoon. You may take atomoxetine with or without food. Swallow the capsule whole and do not crush, chew, break, or open it.","signs of an allergic reaction: hives; difficult breathing; swelling of your face, lips, tongue, or throat. new or worsening symptoms, such as: anxiety, panic attacks, trouble sleeping, or if you feel impulsive, irritable, agitated, hostile, aggressive, restless, hyperactive (mentally or physically), depressed, or have thoughts about suicide or hurting yourself.","Take the medicine as soon as you can, but skip the missed dose if it is almost time for your next dose. Do not take two doses at one time."
56,Atorvastatin,"used together with diet to lower blood levels of "bad" cholesterol ","Atorvastatin is used together with diet to lower blood levels of "bad" cholesterol (low-density lipoprotein, or LDL), to increase levels of "good" cholesterol (high-density lipoprotein, or HDL), and to lower triglycerides (a type of fat in the blood). Atorvastatin is used to treat high cholesterol, and to lower the risk of stroke, heart attack, or other heart complications in people with type 2 diabetes, coronary heart disease, or other risk factors.","You should not take atorvastatin if you are pregnant or breastfeeding, or if you have liver disease. Stop taking this medication and tell your doctor right away if you become pregnant. void eating foods that are high in fat or cholesterol. Atorvastatin will not be as effective in lowering your cholesterol if you do not follow a cholesterol-lowering diet plan.","Atorvastatin is usually taken once a day, with or without food. Take the medicine at the same time each day. Do not break a tablet before taking it, unless your doctor has told you to. Your doctor may occasionally change your dose to make sure you get the best results. Do not use this medicine in larger or smaller amounts or for longer than recommended.","signs of an allergic reaction to atorvastatin: hives; difficulty breathing; swelling of your face, lips, tongue, or throat ,atorvastatin can cause a condition that results in the breakdown of skeletal muscle tissue, potentially leading to kidney failure. ","Take the missed dose as soon as you remember. Skip the missed dose if your next dose is less than 12 hours away. Do not take extra medicine to make up the missed dose."
57,Aubagio,"used to treat relapsing forms of multiple sclerosis in adults","Aubagio (teriflunomide) affects the immune system and reduces swelling and inflammation in the nervous system. Aubagio is used to treat relapsing forms of multiple sclerosis in adults (including clinically isolated syndrome, relapsing-remitting disease, and active secondary progressive disease). Aubagio is not a cure for MS.","Do not use Aubagio if you are pregnant or may become pregnant.  You should not use this medicine if you have severe liver disease or if you are also taking leflunomide (Arava).  Call your doctor at once if you have signs of liver problems: upper stomach pain, loss of appetite, dark urine, or jaundice (yellowing of the skin or eyes).","You may take Aubagio with or without food. Your blood pressure will need to be checked often. Teriflunomide can lower your blood cell counts. Your blood will need to be tested often. Your treatment may be delayed based on the results.).","signs of an allergic reaction to Aubagio (hives, difficult breathing, swelling in your face or throat) or a severe skin reaction, numbness or tingling in your hands or feet that feels different from your MS symptoms,trouble breathing, new or worsening cough with or without fever","Take the medicine as soon as you can, but skip the missed dose if it is almost time for your next dose. Do not take two doses at one time."
58,Augmentin,"used to treat many different infections caused by bacteria","Augmentin contains a combination of amoxicillin and clavulanate potassium. Amoxicillin is a penicillin antibiotic that fights bacteria in the body. Clavulanate potassium is a beta-lactamase inhibitor that helps prevent certain bacteria from becoming resistant to amoxicillin. Augmentin is prescription antibiotic used to treat many different infections caused by bacteria, such as , pneumonia, ear infections, bronchitis, urinary tract infections, and infections of the skin.","You should not use Augmentin if you have severe kidney disease, if you have had liver problems or jaundice while taking amoxicillin and clavulanate potassium, or if you are allergic to any penicillin or cephalosporin antibiotic, such as Amoxil, Ceftin, Cefzil, Moxatag, Omnicef, and others.","Augmentin may work best if you take it at the start of a meal. Take the medicine every 12 hours. Do not crush or chew the extended-release tablet. Swallow the pill whole, or break the pill in half and take both halves one at a time.","signs of an allergic reaction to Augmentin (hives, difficult breathing, swelling in your face or throat) or a severe skin reaction (fever, sore throat, burning eyes, skin pain, red or purple skin rash with blistering and peeling), severe stomach pain, diarrhea that is watery or bloody (even if it occurs months after your last dose)","Take the medicine as soon as you can, but skip the missed dose if it is almost time for your next dose. Do not take two doses at one time."
59,Austedo,"used to treat involuntary muscle movements (chorea) caused by Huntington's disease","Austedo (deutetrabenazine) reduces the amount of certain chemicals in the body that are overly active in people with Huntington's disease. Austedo is also used to treat symptoms of tardive dyskinesia, a nervous system disorder. Tardive dyskinesia causes repetitive uncontrolled muscle movements, usually in the face","You should not use Austedo if you have liver disease, untreated or uncontrolled depression, or if you have thoughts about suicide. Do not use this medicine if you have taken reserpine (Serpalan, Renese-R) in the past 20 days, or if you have used an MAO inhibitor in the past 14 days.","Austedo is usually taken 1 or 2 times per day with food and a whole glass of water. Do not crush, chew, or break a tablet. Swallow the tablet whole. Tell your doctor if you have trouble swallowing the tablet whole.","signs of an allergic reaction to Austedo: hives; difficult breathing; swelling of your face, lips, tongue, or throat.you feel hopeless, guilty, extremely tired, irritable, hostile, aggressive, or have thoughts about suicide or hurting yourself.","Take the missed dose as soon as you remember. Skip the missed dose if it is almost time for your next scheduled dose. Do not take extra medicine to make up the missed dose."
60,Avsola,"used to treat rheumatoid arthritis, psoriatic arthritis, ankylosing spondylitis, and severe or disabling plaque psoriasis in adults.","Avsola is used to treat rheumatoid arthritis, psoriatic arthritis, ankylosing spondylitis, and severe or disabling plaque psoriasis in adults. Avsola is also used to treat ulcerative colitis or Crohn's disease in adults and children at least 6 years old. Avsola is often used when other medicines have not been effective.","Using Avsola may increase your risk of developing certain types of cancer, including a rare fast-growing type of lymphoma that can be fatal. Ask your doctor about your specific risk. Avsola affects your immune system. You may get infections more easily, even serious or fatal infections.","Avsola is given as an infusion into a vein. A healthcare provider will give you this injection. Avsola must be given slowly, and the infusion can take at least 2 hours to complete. You may be watched closely after receiving Avsola, to make sure the medicine has not caused any serious side effects.","dizzy, nauseated, light-headed, itchy or tingly, short of breath, or have a headache, fever, chills, muscle or joint pain, pain or tightness in your throat, chest pain, or trouble swallowing during the injection. Infusion reactions may also occur within 1 or 2 hours after injection.","Call your doctor for instructions if you miss an appointment for your Avsola."
61,Azathioprine,"used to prevent your body from rejecting a transplanted kidney","Azathioprine weakens your body's immune system, to help keep it from "rejecting" a transplanted organ such as a kidney. Organ rejection happens when the immune system treats the new organ as an invader and attacks it. Azathioprine is used to prevent your body from rejecting a transplanted kidney. Azathioprine is also used to treat symptoms of rheumatoid arthritis.","Azathioprine may cause a rare type of lymphoma (cancer) of the liver, spleen, and bone marrow that can be fatal. This has occurred mainly in teenagers and young men with Crohn's disease or ulcerative colitis.","It may take up to 8 weeks before your symptoms improve. Keep using azathioprine as directed and tell your doctor if your symptoms have not improved after 12 weeks of use. Take with food if azathioprine upsets your stomach. You may not be able to continue taking other arthritis medications together with azathioprine.","Azathioprine may cause a serious brain infection that can lead to disability or death. Call your doctor right away if you have problems with speech, thought, vision, or muscle movement. These symptoms may start gradually and get worse quickly","Take the medicine as soon as you can, but skip the missed dose if it is almost time for your next dose. Do not take two doses at one time."
62,Azilect,"used alone or with other medications (such as levodopa/carbidopa) to treat symptoms of Parkinson's disease","Azilect (rasagiline) works by increasing the levels of certain chemicals in the brain. Azilect is used to treat symptoms of Parkinson's disease (stiffness, tremors, spasms, poor muscle control). Azilect is sometimes used with another medicine called levodopa.","Do not Azilect if you have used a MAO inhibitor in the past 14 days, such as isocarboxazid, linezolid, methylene blue injection, phenelzine, selegiline, or tranylcypromine. Before you take this medicine, tell your doctor if you have liver disease.","Azilect may be only part of a complete program of treatment that also includes a special diet. Follow the diet plan created for you by your doctor or nutrition counselor. Get familiar with the list of foods you should avoid to help prevent certain side effects of rasagiline. Call your doctor if your Parkinson's symptoms do not improve or if they get worse while using Azilect.","severe headache, blurred vision, pounding in your neck or ears, extreme drowsiness or falling asleep suddenly, even after feeling alert, unusual changes in mood or behavior, hallucinations, a light-headed feeling, like you might pass out","Skip the missed dose and use your next dose at the regular time. Do not use two doses at one time."
63,Azithromycin,"used as antibiotic that fights bacteria.","Azithromycin is used to treat many different types of infections caused by bacteria, such as respiratory infections, skin infections, ear infections, eye infections, and sexually transmitted diseases.","You should not use azithromycin if you have ever had jaundice or liver problems when you have previously taken this medicine.","You may take most forms of azithromycin with or without food. Take Zmax extended release liquid (oral suspension) on an empty stomach, at least 1 hour before or 2 hours after a meal. To use the oral suspension single dose packet: Open the packet and pour the medicine into 2 ounces of water. Stir this mixture and drink all of it right away. Do not save for later use. ","signs of an allergic reaction to azithromycin: (hives, difficult breathing, swelling in your face or throat) or a severe skin reaction (fever, sore throat, burning in your eyes, skin pain, red or purple skin rash that spreads and causes blistering and peeling), fever, swollen glands, flu-like symptoms, muscle aches, severe weakness, unusual bruising.","Take the missed dose as soon as you remember. Skip the missed dose if it is almost time for your next scheduled dose. Do not take extra medicine to make up the missed dose."
64,Azulfidine,"used to treat ulcerative colitis (UC), and to decrease the frequency of UC attacks.","This medicine will not cure ulcerative colitis, but it can reduce the number of attacks you have. Azulfidine is also used to treat rheumatoid arthritis in children and adults who have used other arthritis medicines that did not work or have stopped working.","You should not use Azulfidine if you have porphyria, a blockage in your bladder or intestines, or if you are allergic to sulfa drugs, aspirin, or similar medicines called salicylates.","Take Azulfidine after a meal. Swallow the tablet whole and do not crush, chew, or break it. You will need frequent medical tests. Drink plenty of liquids to keep your kidneys working properly while you are taking Azulfidine.","signs of an allergic reaction (hives, difficult breathing, swelling in your face or throat) or a severe skin reaction (fever, sore throat, burning eyes, skin pain, red or purple skin rash with blistering and peeling), skin rash, fever, swollen glands, muscle aches, severe weakness, unusual bruising, or yellowing of your skin or eyes.","Take the medicine as soon as you can, but skip the missed dose if it is almost time for your next dose. Do not take two doses at one time."
65,Baclofen,"used to help relax certain muscles in your body.","Baclofen is a muscle relaxer and an antispasmodic agent. Baclofen is used to treat muscle pain, spasms, and stiffness in people with multiple sclerosis or spinal cord injury or disease. Baclofen is given intrathecally (directly into the spinal cord) or orally (by mouth).","Do not use baclofen at a time when you need muscle tone for safe balance and movement during certain activities. Do not drive or operate heavy machinery until you know how this medicine affects you. Do not stop using baclofen suddenly, or you could have unpleasant withdrawal symptoms.","Follow all directions on your prescription label and read all medication guides or instruction sheets. Your doctor may occasionally change your dose. Shake the oral suspension (liquid) before you measure a dose. Use the dosing syringe provided, or use a medicine dose-measuring device (not a kitchen spoon).","signs of an allergic reaction to baclofen: hives; difficult breathing; swelling of your face, lips, tongue, or throat and severe drowsiness, weak or shallow breathing, confusion, hallucinations, itching, tingling, or twitching in your hands, arms, feet, or legs, fever or a seizure.","Take the medicine as soon as you can, but skip the missed dose if it is almost time for your next dose. Do not take two doses at one time."
66,Bactrim,"used to treat ear infections, urinary tract infections, bronchitis, traveler's diarrhea, shigellosis, and Pneumocystis jiroveci pneumonia.","Bactrim contains a combination of sulfamethoxazole and trimethoprim. Sulfamethoxazole and trimethoprim are are both antibiotics that treat different types of infection caused by bacteria. To help reduce the development of drug-resistant bacteria and maintain the effectiveness of Bactrim, this medicine should be used only to treat infections that are proven, or strongly suspected, to be caused by susceptible bacteria.","You should not use Bactrim if you have severe liver disease, kidney disease that is not being monitored, anemia caused by folic acid deficiency, if you take dofetilide, or if you have had low platelets caused by using trimethoprim or a sulfa drug. You should not take Bactrim if you are pregnant or breastfeeding.","Drink plenty of fluids to prevent kidney stones. Antibiotic medicines can cause diarrhea. Tell your doctor if you have diarrhea that is watery or bloody. Store Bactrim at room temperature away from moisture, heat, and light. Do not refrigerate.","signs of an allergic reaction to Bactrim (hives, cough, chest pain, shortness of breath, swelling in your face or throat) or a severe skin reaction like- skin rash, fever, swollen glands, joint pain, muscle aches, severe weakness, pale skin, unusual bruising, or yellowing of your skin or eyes.","Use the medicine as soon as you can, but skip the missed dose if it is almost time for your next dose. Do not use two doses at one time."
67,Bactroban,"used for the treatment of certain types of skin infections such as school sores (impetigo), infection of the hair root and boils.","Bactroban (mupirocin) is an antibiotic that prevents bacteria from growing on your skin. Bactroban topical (for use on the skin) is used to treat skin infections such as impetigo or a "Staph" infection of the skin.","Use Bactroban cream or ointment for the full amount of time prescribed by your doctor or as recommended in the package even if you begin to feel better. Your symptoms may improve before the infection is completely healed. Avoid your eyes, nose, mouth, and lips when applying Bactroban. If medication gets in any of these areas, wash with water.","Do not take by mouth, use it only on the skin. Clean and dry the affected skin area. Use a cotton swab or gauze pad to apply a small amount of Bactroban cream or ointment as directed. Do not spread Bactroban over large areas of skin. Bactroban is usually applied 3 times per day for 10 days.","signs of an allergic reaction to Bactroban: hives; dizziness, fast or pounding heartbeats; wheezing, difficult breathing; swelling of your face, lips, tongue, or throat, severe stomach pain, diarrhea that is watery or bloody, severe itching, rash, or other irritation of treated skin, unusual skin blistering or peeling or any signs of a new skin infection","Apply the missed dose as soon as you remember. Skip the missed dose if it is almost time for your next dose. Do not use extra medicine to make up the missed dose."
68,Balsalazide,"used to treat an inflammatory bowel disease called ulcerative colitis.","The Colazal brand of balsalazide is used to treat mild to moderate active ulcerative colitis in adults and children who are at least 5 years old. The Giazo brand of balsalazide is used to treat mild to moderate active ulcerative colitis in men who are at least 18 years old.","Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use.","Balsalazide can be taken with or without food. If you cannot swallow a capsule whole, open it and sprinkle the medicine into a spoonful of applesauce. Swallow the mixture right away. Medicine from the capsule may stain your teeth or tongue yellow/orange when mixed with food. Do not save the mixture for later use.","signs of an allergic reaction: hives; difficult breathing; swelling of your face, lips, tongue, or throat, pain or burning when you urinate, fever, stomach pain, cramps, or bloody diarrhea,  little or no urinating, swelling, rapid weight gain, upper stomach pain, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes)","Take the medicine as soon as you can, but skip the missed dose if it is almost time for your next dose. Do not take two doses at one time."
69,Banzel," used with other medicines to treat seizures associated with Lennox-Gastaut Syndrome (LGS) in adults","Banzel (rufinamide) is a seizure medication, also called an anti-epileptic or anticonvulsant. Banzel is used together with other medicines to treat seizures caused by Lennox-Gastaut syndrome, a severe form of childhood epilepsy that also causes developmental and behavior problems. Banzel is for use in adults and children who are at least 1 year old.","You should not use Banzel if you have a severe liver disease, or a genetic heart rhythm disorder called short QT syndrome. You should not stop taking Banzel suddenly, unless your doctor tells you to stop the medicine because of a serious side effect.","Take Banzel with food. The tablet may be swallowed whole, crushed, or cut in half. Shake the oral suspension (liquid) well just before you measure a dose. Insert the syringe into the adapter and turn the bottle upside down. pull the plunger to the correct number of milliliters marked on the side of the syringe. Rinse the syringe with water after each use.","signs of an allergic reaction to Banzel: hives; difficult breathing; swelling of your face, lips, tongue, or throat and skin rash, fever, swollen glands, muscle aches, severe weakness, unusual bruising, or yellowing of your skin or eyes.","Take the medicine as soon as you can, but skip the missed dose if it is almost time for your next dose. Do not take two doses at one time. Get your prescription refilled before you run out of medicine completely."
